DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-01,87.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-02,60.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-03,106.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-04,122.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-05,112.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-06,118.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-07,125.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-08,111.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-09,125.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-10,131.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-11,115.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1991-12,81.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-01,85.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-02,90.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-03,120.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-04,126.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-05,123.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-06,130.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-07,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-08,118.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-09,142.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-10,139.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-11,124.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1992-12,100.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-01,84.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-02,85.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-03,127.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-04,132.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-05,127.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-06,141.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-07,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-08,131.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-09,147.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-10,141.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-11,123.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1993-12,95.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-01,99.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-02,88.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-03,142.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-04,134.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-05,141.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-06,153.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-07,136.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-08,145.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-09,157.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-10,146.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-11,149.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1994-12,114.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-01,89.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-02,109.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-03,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-04,132.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-05,152.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-06,146.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-07,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-08,144.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-09,147.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-10,147.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-11,146.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1995-12,91.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-01,77.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-02,68.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-03,107.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-04,136.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-05,139.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-06,140.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-07,149.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-08,135.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-09,148.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-10,149.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-11,133.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1996-12,99.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-01,67.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-02,84.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-03,110.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-04,140.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-05,119.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-06,139.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-07,142.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-08,118.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-09,144.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-10,141.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-11,125.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1997-12,91.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-01,79.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-02,80.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-03,115.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,1998-04,121.7,
